CODCP,facilidad_mas_cercana_car,duracion_min_car,distancia_km_car,facilidad_mas_cercana_foot,duracion_min_foot,distancia_km_foot,facilidad_mas_cercana_bike,duracion_min_bike,distancia_km_bike,mismo_hospital_car_foot,ratio_foot_car,ratio_bike_car
111244,23733,27.40666666666667,11.0806,23733.0,133.00833333333333,11.0507,23733.0,67.655,11.0806,True,4.853137922646557,2.468559961080029
111252,3792,81.18333333333334,83.39410000000001,3792.0,990.6483333333333,82.37010000000001,3792.0,350.02166666666665,86.8503,True,12.20260726750154,4.311496612605214
111257,11775,54.086666666666666,48.8579,11775.0,503.6566666666667,41.8672,11775.0,171.79833333333332,42.0721,True,9.312030075187971,3.1763527671638108
111265,3727,113.19666666666667,158.7593,3494.0,1796.71,149.4279,3494.0,616.2016666666666,149.5878,False,15.87246385347036,5.443637916310845
111279,3494,20.896666666666665,21.1583,3494.0,440.205,36.590199999999996,3494.0,298.95,37.1518,True,21.065799968096986,14.306109427340884
111348,3727,30.236666666666668,35.7528,3494.0,2246.19,186.6861,3494.0,887.785,199.69129999999998,False,74.28695843898137,29.361206041230293
111410,3523,131.655,95.5306,3523.0,1148.5783333333334,95.5128,3523.0,383.71666666666664,95.5152,True,8.724152773030522,2.914562049801881
111426,3727,195.13500000000002,150.3985,3494.0,2401.976666666667,199.6794,3494.0,1200.4416666666666,212.688,False,12.309307231745544,6.151852136555034
111427,3727,158.69333333333333,201.3247,3494.0,1806.2716666666668,150.2215,3494.0,693.3349999999999,150.4238,False,11.38215215930096,4.369024113594354
111434,3523,97.91000000000001,101.0212,3523.0,1182.6483333333333,98.3505,3523.0,395.185,98.3528,True,12.078933033738465,4.036206720457563
111458,3523,84.04166666666667,63.482099999999996,3727.0,971.7733333333333,80.7812,3727.0,376.21666666666664,81.1977,False,11.562994546355974,4.476549330689141
111467,3754,21.116666666666667,21.054,3754.0,199.22833333333335,16.5655,3754.0,67.04166666666667,16.5655,True,9.434648776637728,3.174822415153907
111507,3655,52.845,48.422599999999996,3655.0,583.3266666666666,48.506800000000005,3655.0,218.15333333333334,48.930800000000005,True,11.038445769073075,4.128173589428202
111559,3494,107.29333333333334,82.27080000000001,3494.0,730.1316666666667,60.7162,3494.0,305.99,69.66680000000001,True,6.80500497079657,2.8519013296880824
111589,3655,116.555,91.67,3655.0,1103.8183333333334,91.7813,3655.0,373.675,92.515,True,9.470364491727796,3.2059971687186306
111601,4370,79.74833333333332,98.5305,4370.0,1410.4666666666667,117.16080000000001,4370.0,857.3016666666666,121.22160000000001,True,17.68647202658363,10.750088821082992
111631,3523,11.74,9.075299999999999,3523.0,151.65833333333333,12.6008,3523.0,51.32833333333333,12.6066,True,12.91808631459398,4.372089721749006
111683,8154,65.825,46.986599999999996,35125.0,558.2433333333333,46.3935,35125.0,225.98666666666668,52.3144,False,8.48071907836435,3.4331434358779593
111701,4370,43.906666666666666,58.6652,4370.0,1649.3816666666667,137.078,30057.0,1070.9216666666666,163.0444,True,37.565631642878834,24.39086699058609
111716,6502,23.708333333333332,20.688200000000002,6502.0,246.95833333333334,20.528599999999997,6502.0,83.93833333333333,20.5596,True,10.41652021089631,3.540456942003515
111719,6919,61.49666666666667,41.2989,,,,,,,False,,
111810,37376,60.38666666666666,41.3992,11775.0,388.4183333333333,32.2861,11775.0,142.30166666666668,32.3823,False,6.432187017001545,2.356508059174211
111825,3727,250.63,191.2209,3494.0,2814.9100000000003,234.0041,3494.0,1358.9666666666667,252.107,False,11.231337030682681,5.4222027158227935
111831,8154,21.35,19.2033,3655.0,294.53333333333336,24.4911,3655.0,105.65166666666667,24.512700000000002,False,13.795472287275567,4.94855581576893
111832,3727,264.39500000000004,289.1343,11775.0,3759.883333333333,312.6441,11775.0,1890.5233333333333,342.7465,False,14.220705131841875,7.150374754943675
111837,3727,169.42666666666668,158.4567,3494.0,1937.72,161.14829999999998,3494.0,672.9366666666666,161.3082,False,11.436924529786731,3.971846226489336
111863,6919,122.3,95.9413,6502.0,1148.4683333333335,95.4221,6502.0,505.635,98.2362,False,9.390583265194877,4.134382665576451
111947,3494,101.07333333333332,97.5517,3494.0,1080.995,89.898,3494.0,406.8433333333333,90.06939999999999,True,10.695155332761692,4.025229206516721
111951,37376,150.80833333333334,138.7535,11775.0,1422.4183333333335,118.2686,11775.0,638.775,119.11580000000001,False,9.431961098524619,4.23567442117478
111954,3494,96.125,68.5746,3494.0,699.1733333333334,58.155800000000006,3494.0,257.0083333333333,58.25,True,7.2735847420892945,2.673688773298656
111973,3494,31.2,25.748900000000003,3494.0,651.3283333333333,54.1537,3494.0,444.1566666666667,54.7467,True,20.875908119658117,14.235790598290599
