CODCP,facilidad_mas_cercana,t_min,distancia_km
664433,6502,91.04666666666667,92.9153
664437,6502,41.318333333333335,52.2903
664438,6502,64.36999999999999,61.743300000000005
664439,6502,67.61666666666666,65.5958
664445,6502,50.906666666666666,62.6383
664446,6502,51.30833333333333,63.072
664450,6502,61.236666666666665,68.0137
664453,6502,56.70333333333333,68.9103
664454,6502,120.78999999999999,95.572
664457,6732,48.42833333333333,47.961
664461,6732,37.626666666666665,31.0797
664463,8269,6.3966666666666665,5.8164
664470,6918,40.46666666666667,40.115199999999994
664472,6359,154.96166666666667,131.2305
664473,6359,155.00666666666666,131.2608
664474,6359,181.04666666666665,147.7751
664481,8269,7.466666666666667,6.0053
664482,8269,3.83,2.7316
664484,6359,162.64,132.2871
664485,6502,121.545,95.21119999999999
664486,6502,121.545,95.21119999999999
664493,6580,39.195,45.971
664495,6580,19.759999999999998,26.0898
664496,6580,29.328333333333333,24.439
664583,3727,62.35333333333333,74.17739999999999
664585,3523,61.51166666666666,58.5765
664587,3523,94.31833333333334,50.485699999999994
664590,3523,113.13833333333334,58.3083
664591,3523,58.215,55.573
665985,3727,158.75166666666667,201.3161
666124,3494,37.94666666666667,35.3385
666127,3494,29.78666666666667,36.9688
666131,3494,33.01,33.2894
668223,3727,3.5766666666666667,4.0533
668224,3727,8.055,3.3404000000000003
668225,3727,4.993333333333334,2.0652
668227,3727,12.875,7.6756
668228,3727,3.466666666666667,3.7658
672910,3494,22.058333333333334,30.818900000000003
672912,3494,22.73166666666667,31.7763
672914,3494,71.78,54.4242
672916,3494,17.884999999999998,23.8164
672918,3494,24.878333333333334,34.807300000000005
673601,6919,85.58500000000001,61.297
673608,6919,25.091666666666665,18.875
673613,3727,48.961666666666666,57.0623
673614,3727,36.335,39.5225
673616,3727,88.65166666666667,61.2413
673617,3727,79.74666666666667,57.5373
674014,3494,150.59166666666667,121.95089999999999
674015,3494,48.919999999999995,33.0208
674018,3727,114.57666666666667,112.0954
674156,3655,19.30666666666667,9.5587
674162,3754,80.26833333333335,91.5935
674275,3494,165.35166666666666,140.7247
674280,3494,101.58833333333334,94.38210000000001
674289,3523,101.63833333333334,53.5214
674292,3523,93.09666666666666,49.979
674298,3523,69.475,40.1492
674433,3727,118.07333333333332,116.9434
674585,6918,10.354999999999999,11.9359
674587,6919,61.49666666666667,41.2989
674591,6919,35.711666666666666,29.555799999999998
674592,6919,54.093333333333334,38.221599999999995
674621,6580,74.53,82.38969999999999
674637,3494,71.61,69.4782
674643,3494,70.65333333333334,68.4427
674650,3727,158.82999999999998,132.25779999999997
674652,3727,186.97333333333333,143.9617
674665,3754,96.70166666666667,97.4496
674668,3754,88.68166666666666,95.08239999999999
674675,3727,37.22666666666667,52.5167
674676,3727,29.043333333333333,40.9315
674682,3727,129.41833333333335,124.74289999999999
674684,3727,126.325,132.0846
674737,6502,51.96,59.050599999999996
674789,6502,45.873333333333335,57.205400000000004
674948,3727,84.58999999999999,82.881
675029,6919,32.96,22.825400000000002
675032,6502,66.56833333333333,64.8473
675132,3727,152.345,124.7625
675136,3727,158.39333333333335,127.22330000000001
675158,3727,105.30166666666668,120.26960000000001
675163,3727,123.57333333333332,130.0036
675166,3727,96.02666666666667,94.8203
675169,3727,110.325,121.4229
675209,3727,89.84166666666667,61.7374
675212,3727,78.73666666666666,90.8009
675232,3727,51.690000000000005,45.8467
675351,3494,153.69500000000002,124.01310000000001
675353,3494,156.63500000000002,125.6524
675375,3727,103.685,67.48780000000001
675381,3727,84.04333333333334,82.5986
675538,6919,73.75166666666668,56.488
675551,6580,21.803333333333335,16.9456
675622,3727,82.35166666666667,58.620400000000004
675628,3727,71.44666666666667,54.0896
675629,3727,94.71000000000001,63.7625
675734,3727,60.125,71.4958
675735,3727,24.38,30.2769
675736,3727,17.995,25.3627
675739,3727,21.53666666666667,30.3457
675816,6502,17.40666666666667,18.2701
675817,6502,17.983333333333334,20.5695
675848,3523,112.93,111.2432
675852,3523,47.34166666666667,57.976099999999995
675853,3523,47.245,54.450300000000006
675873,3523,149.61166666666668,142.1923
675875,3523,189.57666666666668,181.1595
675882,3523,193.05,171.124
675933,3727,87.94833333333332,60.9506
675939,3727,56.13333333333333,47.6984
675944,3727,76.39666666666668,56.1475
676124,3523,163.8,134.7544
676387,6502,20.735,18.7837
676498,3727,79.00333333333333,100.609
676501,3727,70.36166666666666,98.95639999999999
676503,3727,114.095,123.4202
676506,3727,114.07333333333332,123.4111
676531,3523,19.403333333333332,26.3893
676574,8269,8.585,9.4192
676627,3727,114.07333333333332,123.4111
676655,3494,280.405,205.95860000000002
676660,3523,75.04333333333334,52.036199999999994
676661,3523,61.8,48.7545
676726,6919,26.14,30.5084
676730,6502,4.84,5.1147
676769,6359,63.776666666666664,51.881
676828,3494,84.98666666666666,54.7772
676830,3727,66.68833333333333,52.1149
676897,3523,154.1,125.97439999999999
676901,3523,103.00500000000001,92.05460000000001
677005,6733,38.86,32.3425
677007,6352,14.661666666666667,8.9643
677024,37376,131.74666666666667,112.2993
677047,6502,31.26833333333333,41.4204
677048,6502,40.44666666666667,45.881800000000005
677092,37376,88.75666666666666,72.68839999999999
677113,3727,123.57333333333332,130.0036
677118,3494,98.68833333333333,68.4828
677122,3494,104.45,72.1537
677143,3727,114.58,112.0972
677144,3727,88.78833333333334,61.298
677148,3727,94.12333333333332,101.0192
677153,3727,87.99333333333334,60.9679
677192,23733,28.765,17.2997
677193,23733,19.016666666666666,8.1293
677294,6502,28.296666666666667,38.912800000000004
677300,6502,34.93,43.3159
677314,3523,208.12,218.8704
677319,3523,189.60666666666665,204.1687
677320,3523,191.68833333333333,206.0762
677321,3523,194.83333333333334,203.75289999999998
677344,6502,77.08999999999999,74.42869999999999
677357,11775,120.145,105.5184
677372,3494,54.45,36.4175
677379,3494,18.458333333333332,17.6352
677413,3727,256.51666666666665,265.3895
677416,3494,250.59,198.986
677422,3494,256.59666666666664,202.286
677436,3727,127.37166666666667,132.28070000000002
677440,3727,125.11666666666666,126.9495
677534,35125,52.913333333333334,41.1366
